zone_id,class_id,tipo_intervencion,area_m2,area_ha,volumen_m3,prioridad
1,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
2,1,Conservación hídrica,365.16370600267624,0.03651637060026763,2.5388996601000495,Baja
3,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
4,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
5,1,Conservación hídrica,1460.6548240109134,0.14606548240109135,10.155598640401648,Baja
6,1,Conservación hídrica,1460.6548240465768,0.14606548240465766,10.155598640649607,Baja
7,1,Conservación hídrica,1825.8185300137286,0.18258185300137286,12.694498300502662,Baja
8,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
9,1,Conservación hídrica,10589.747474079348,1.0589747474079347,73.6280901429135,Baja
10,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
11,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
12,1,Conservación hídrica,1095.4911180082372,0.10954911180082372,7.616698980301598,Baja
13,1,Conservación hídrica,365.1637060383395,0.036516370603833954,2.538899660348008,Baja
14,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
15,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
16,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
17,1,Conservación hídrica,2190.9822360164744,0.21909822360164743,15.233397960603195,Baja
18,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
19,1,Conservación hídrica,2190.9822360160574,0.21909822360160575,15.233397960600294,Baja
20,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
21,1,Conservación hídrica,1825.8185300137286,0.18258185300137286,12.694498300502662,Baja
22,1,Conservación hídrica,365.16370600267624,0.03651637060026763,2.5388996601000495,Baja
23,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
24,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
25,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
26,1,Conservación hídrica,2190.9822360164744,0.21909822360164743,15.233397960603195,Baja
27,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
28,1,Conservación hídrica,1095.4911180082372,0.10954911180082372,7.616698980301598,Baja
29,1,Conservación hídrica,2190.982236016405,0.2190982236016405,15.233397960602712,Baja
30,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
31,1,Conservación hídrica,5842.619296043862,0.5842619296043862,40.62239456160804,Baja
32,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
33,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
34,1,Conservación hídrica,1095.4911180082372,0.10954911180082372,7.616698980301598,Baja
35,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
